product_id,author,rating,title,body
category_1_product_27,rishita singh,5,cool looking product,the green colour is very different looks very cool with outfit and is comfortable to wear
category_1_product_27,udit,5,perfect aesthetic look,the design looks premium loved the sound quality too thank you noise
category_1_product_27,dharmeshkumar kapadia,4,good,good
category_1_product_27,rahul krishnadas,5,noise air clips 2,nice product with a great battery backup dual pairing is a good option with a hypersync
category_1_product_28,amit kumar sharma,5,good sound,the sound quality of noise is very good and mindblowing
category_1_product_28,anant jain,5,nice product in budget segment,love the sound
category_1_product_28,keyur ramani,4,awesome sound,bass and looking premium buds
category_1_product_28,aadil shekh,5,excellent,perfect
category_1_product_28,noor khan,5,nice,awesome
category_1_product_30,mandeep singh,5,verry nyc product,great filling
category_1_product_30,nishi jain,5,gift to brother,bhai ke liy liy the he loved it thanks noise
category_1_product_30,arpit,5,majja aagyya buds lekr,bhdia hai design mast hai deal milgyi 1799 mai
category_1_product_30,yash goel,5,bhdia hai,nice anc product under 2000 loved the noise cancellation
category_1_product_30,anand sharma,5,so thank full,best service experience
category_1_product_34,akash soni,5,absolute good product,good battery life and very comfortablekeep it up noise
category_1_product_34,customer,5,newly buds connect noice,nice earbuds incredible performance
category_1_product_34,sandeep singh,5,good quality,good sound quality good battery bekup ovrol good experience earbuds thnku for noise
category_1_product_34,suman gaur,5,i love it,very nice quality and colour sound quality is very good
category_1_product_34,am,5,awesome product of noise,i brought noise buds connect i am very happy with performance of buds connect i really want to thank noise to make this awesome product
category_1_product_35,r,5,amazing,really enjoying this product loved it
category_1_product_35,nitin s,5,excellent,very very good product 15 days without charging
category_1_product_35,aman,5,excellent,great bass and loud sound
category_1_product_35,p r,5,awesome,very nice product i am happy
category_1_product_35,rajesh singh,5,highly recommended,value for money
category_1_product_36,arvind,5,excellent,noise buds vs202 truly wireless earbuds
category_1_product_36,nisha rajak,5,excellent,noise buds vs202 truly wireless earbuds
category_1_product_36,suman behra,5,excellent,amazing performance
category_1_product_36,mubashira thottiyil,3,sound is good,not good for calling
category_1_product_36,dhana lakshmi,5,excellent,noise buds vs202 truly wireless earbuds
category_1_product_38,ramu kumar,5,super,nice
category_1_product_38,javed alam,5,excellent,excellent
category_1_product_38,tejas panchal,5,good one to purchase for gaming,nice sound quality
category_1_product_38,surajit gayen,5,great sound quality,best product best sound great look clear voice clearance thanks noise
category_1_product_38,golden fighter,4,its a good product,im satisfied with this buds vs402
